title,type,question,A,B,C,D,E,F,G,H,I,answer,image
,radio,Simpanan Tetap,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,F,
,radio,Inventori Alat Tulis,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,F,
,radio,Akaun Belum Bayar,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,G,
,radio,Overdraf Bank,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,G,
,radio,Premis,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,E,
,radio,Kelengkapan,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,E,
,radio,Kenderaan,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,E,
,radio,Perabot,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,E,
,radio,Alatan Pejabat,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,E,
,radio,Ambilan,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,H,
,radio,Modal,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,H,
,radio,Untung Bersih,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,H,
,radio,Pinjaman,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,I,
,radio,Gadai Janji,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,I,
